	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_133_length_1075_cov_5.472946_Ba20_KC_P03	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Anphevirus	Aedes aegypti anphevirus 
NODE_1_length_4115_cov_16.486379_Ba20_KC_P01	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Aedes aegypti totivirus
NODE_1_length_8061_cov_77.273547_Ba20_KC_P08	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Aedes aegypti totivirus
NODE_13_length_2003_cov_161.989097_Ba20_KC_P08	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Aedes aegypti totivirus
NODE_9_length_1918_cov_51.219989_Ba20_KC_P05	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	unclassified	Palmetto orthomyxo-like virus
NODE_281_length_1036_cov_2.830031_Ba20_KC_P05	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Aedes alboannulatus orthomyxo-like virus 
NODE_3_length_5697_cov_15.188078_Ba20_KC_P02	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Gylbovirus	Gylbovirus aagae
NODE_6_length_3330_cov_9.007070_Ba20_KC_P02	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Gylbovirus	Gylbovirus aagae
NODE_8_length_2682_cov_8.327063_Ba20_KC_P02	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Gylbovirus	Gylbovirus aagae
NODE_18_length_1930_cov_9.249865_Bu20_KC_P34	Viruses	unclassified	unclassified	unclassified	Anelloviridae	unclassified	Anelloviridae sp.
NODE_984_length_602_cov_4.260952_Bu20_KC_P34	Viruses	unclassified	unclassified	unclassified	Anelloviridae	unclassified	Anelloviridae sp.
NODE_1213_length_530_cov_5.598234_Bu20_KC_P35	Viruses	unclassified	unclassified	unclassified	Anelloviridae	unclassified	Grizzly bear anellovirus 10
NODE_3_length_2792_cov_28.395580_Ba20_KC_P05	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	unclassified	Pyongtaek Culex Solemovirus (BMSV)
NODE_30_length_1502_cov_106.876491_Ba20_KC_P05	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	unclassified	Pyongtaek Culex Solemovirus (BMSV)
NODE_4_length_3313_cov_12.924598_Ba20_KC_P12	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Budalangi Iflavi-like virus
NODE_5_length_3161_cov_8.792802_Ba20_KC_P12	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Budalangi Iflavi-like virus
NODE_13_length_2136_cov_6.179699_Ba20_KC_P12	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Budalangi Iflavi-like virus
NODE_136_length_1260_cov_4.308538_Ya20_KC_P47	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	unclassified	Duke bunyavirus
NODE_275_length_1037_cov_8.162500_Ya20_KC_P47	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	unclassified	Duke bunyavirus
NODE_389_length_933_cov_14.160047_Ya20_KC_P47	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	unclassified	Duke bunyavirus
NODE_69_length_774_cov_2.060258_Ba20_KC_P10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Canya virus
NODE_62_length_1095_cov_13.454813_Ba20_KC_P06	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Culex luteo-like virus 
NODE_29_length_1504_cov_3.551507_Ba20_KC_P05	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_64_length_1374_cov_4.576715_Ba20_KC_P05	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_6124_length_553_cov_4.304622_Ba20_KC_P05	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_7001_length_537_cov_3.191304_Ba20_KC_P05	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_926_length_695_cov_1.312298_Ba20_KC_P07	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_1150_length_661_cov_1.397260_Ba20_KC_P07	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_2003_length_576_cov_2.470942_Ba20_KC_P07	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_204_length_1141_cov_2.831767_Bu20_KC_P39	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Cyclovirus	Fly associated circular virus 1
