Sample	Sample_number	Location	Mosquito_species	Analysis	GS_copies	BMRV_copies	BMSV_copies	BMBV1_copies	BMBV2_copies	BMOV1_copies	BMOV2_copies
MOS20qBa20KC_001	1	Bafoussam 	Ae. africanus	qPCR	0	0	108678348.04433	0	0	0	0
MOS20qBa20KC_002	2	Bafoussam 	Ae. africanus	qPCR	0	0	5865.3739888097	3780673.60704937	0	0	0
MOS20qBa20KC_003	3	Bafoussam 	Ae. africanus	qPCR	0	0	25066.1105093785	6448401.18270965	0	0	0
MOS20qBa20KC_004	4	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	0
MOS20qBa20KC_005	5	Bafoussam 	Ae. africanus	qPCR	0	0	4832387.17268459	2797.46488839003	0	0	447.789995198493
MOS20qBa20KC_006	6	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	14744.0645390027	0	406283.05600891
MOS20qBa20KC_007	7	Bafoussam 	Ae. africanus	qPCR	0	0	376.596503141122	2492141.88968929	0	0	0
MOS20qBa20KC_008	8	Bafoussam 	Ae. africanus	qPCR	0	0	38431308.4595027	0	0	0	0
MOS20qBa20KC_009	9	Bafoussam 	Ae. africanus	qPCR	0	0	185198064.260917	0	0	0	0
MOS20qBa20KC_010	10	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	6619515.28921279	0
MOS20qBa20KC_011	11	Bafoussam 	Ae. africanus	qPCR	0	0	46600052.1013159	0	0	0	0
MOS20qBa20KC_012	12	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	495708.96952383
MOS20qBa20KC_013	13	Bafoussam 	Ae. africanus	qPCR	0	0	110982363.631162	0	0	0	0
MOS20qBa20KC_014	14	Bafoussam 	Ae. africanus	qPCR	0	0	448000.636808842	3048653.33454855	0	0	0
MOS20qBa20KC_015	15	Bafoussam 	Ae. africanus	qPCR	0	0	6869.0921476225	4396116.2273642	0	0	0
MOS20qBa20KC_016	16	Bafoussam 	Ae. africanus	qPCR	0	0	0	2335189.91275824	0	0	0
MOS20qBa20KC_017	17	Bafoussam 	Ae. africanus	qPCR	0	0	63384617.2216612	242216.44858897	0	171757.291061899	0
MOS20qBa20KC_018	18	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	2985.1911300975
MOS20qBa20KC_019	19	Bafoussam 	Ae. africanus	qPCR	0	0	1153.38417493148	0	0	0	0
MOS20qBa20KC_020	20	Bafoussam 	Ae. africanus	qPCR	0	0	4346.20122755797	0	0	0	0
MOS20qBa20KC_021	21	Bafoussam 	Ae. africanus	qPCR	0	0	2610.02723717202	1218470.36581913	0	0	0
MOS20qBa20KC_022	22	Bafoussam 	Ae. africanus	qPCR	0	0	0	5427504.71014049	0	0	0
MOS20qBa20KC_023	23	Bafoussam 	Ae. africanus	qPCR	0	0	3782951.6294928	0	0	0	0
MOS20qBa20KC_024	24	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	1746.70954135711
MOS20qBa20KC_025	25	Bafoussam 	Ae. africanus	qPCR	0	0	50799365.1290369	0	0	0	967.468196352123
MOS20qBa20KC_026	26	Bafoussam 	Ae. africanus	qPCR	0	0	2187.24466385951	4464643.12947929	0	0	0
MOS20qBa20KC_027	27	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	391.885831010267
MOS20qBa20KC_028	28	Bafoussam 	Ae. africanus	qPCR	0	0	105908226.249555	0	0	981602.270117804	0
MOS20qBa20KC_029	29	Bafoussam 	Ae. africanus	qPCR	0	0	1395.86737895974	0	0	0	683.155226035977
MOS20qBa20KC_030	30	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	0
MOS20qBa20KC_031	31	Bafoussam 	Ae. africanus	qPCR	0	0	415072788.394598	0	0	0	0
MOS20qBa20KC_032	32	Bafoussam 	Ae. africanus	qPCR	0	0	21372.6044643346	4381968.93583272	0	0	0
MOS20qBa20KC_033	33	Bafoussam 	Ae. albopictus	qPCR	0	0	253.500317858597	5603216.80371184	0	0	0
MOS20qBa20KC_034	34	Bafoussam 	Ae. africanus	qPCR	0	0	74587.0727420898	7118275.60050902	0	0	0
MOS20qBa20KC_035	35	Bafoussam 	Ae. africanus	qPCR	0	0	4724.79042458063	0	0	0	108468495.277609
MOS20qBa20KC_036	36	Bafoussam 	Ae. africanus	qPCR	0	0	0	0	0	0	0
MOS20qBa20KC_037	37	Bafoussam 	Ae. albopictus	qPCR	0	0	169063244.206277	0	0	0	0
MOS20qBa20KC_038	38	Bafoussam 	Ae. albopictus	qPCR	0	0	155695997.081251	0	0	0	0
MOS20qBa20KC_039	39	Bafoussam 	Ae. albopictus	qPCR	0	0	178499939.915218	0	0	0	0
MOS20qEd20KC_048	48	Edea	Ae. simpsoni	qPCR	106008.317348757	0	1804.70459407755	0	0	0	0
MOS20qEd20KC_049	49	Edea	Ae. simpsoni	qPCR	0	0	3209.22630339425	0	0	0	0
MOS20qEd20KC_050	50	Edea	Ae. albopictus	qPCR	0	0	0	0	3123.43472808857	0	0
MOS20qEd20KC_051	51	Edea	Ae. simpsoni	qPCR	0	0	374.963839067832	0	6040.17769701207	0	0
MOS20qEd20KC_052	52	Edea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qEd20KC_053	53	Edea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qEd20KC_054	54	Edea	Ae. albopictus	qPCR	0	0	25932.6942343865	0	3133.57237151028	0	92310.112169475
MOS20qEd20KC_055	55	Edea	Ae. albopictus	qPCR	0	259739370.990658	550.45010658164	0	0	0	0
MOS20qEd20KC_056	56	Edea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qEd20KC_057	57	Edea	Ae. simpsoni	qPCR	0	0	4184.96743124142	0	4734.12732933801	0	0
MOS20qYa20KC_169	169	Yaounde 	Ae. albopictus	qPCR	841.298969211978	0	0	0	0	0	0
MOS20qYa20KC_170	170	Yaounde 	Ae. albopictus	qPCR	552849193.049167	0	0	0	0	0	0
MOS20qYa20KC_171	171	Yaounde 	Ae. simpsoni	qPCR	5849438.86837547	0	0	0	0	0	0
MOS20qYa20KC_172	172	Yaounde 	Ae. albopictus	qPCR	27123.7693927533	0	0	0	0	0	0
MOS20qYa20KC_173	173	Yaounde 	Ae. simpsoni	qPCR	14418.9787634636	0	0	0	0	0	0
MOS20qYa20KC_174	174	Yaounde 	Ae. simpsoni	qPCR	1379.00745827348	0	0	0	0	0	0
MOS20qYa20KC_175	175	Yaounde 	Ae. albopictus	qPCR	417.427438299981	541906921.835209	0	0	0	0	0
MOS20qYa20KC_176	176	Yaounde 	Ae. albopictus	qPCR	467.11507824713	0	0	0	0	0	0
MOS20qYa20KC_177	177	Yaounde 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qYa20KC_178	178	Yaounde 	Ae. albopictus	qPCR	818.249284884725	0	0	0	0	0	0
MOS20qYa20KC_179	179	Yaounde 	Ae. simpsoni	qPCR	0	0	4383.11272031661	0	0	0	0
MOS20qYa20KC_180	180	Yaounde 	Ae. simpsoni	qPCR	535.231188300902	0	0	0	0	0	0
MOS20qYa20KC_181	181	Yaounde 	Ae. simpsoni	qPCR	0	0	0	0	0	0	0
MOS20qYa20KC_182	182	Yaounde 	Ae. simpsoni	qPCR	1302.0869551006	246436173.787456	0	0	0	0	0
MOS20qBa20KC_041	41	Bafoussam 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBa20KC_042	42	Bafoussam 	Ae. albopictus	qPCR	0	0	0	0	0	0	1467.07555095025
MOS20qBa20KC_043	43	Bafoussam 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBa20KC_044	44	Bafoussam 	Ae. africanus	qPCR	11211.2057091693	0	1176.49557251773	0	0	0	0
MOS20qBa20KC_045	45	Bafoussam 	Ae. albopictus	qPCR	9930.33369029534	0	0	0	0	0	0
MOS20qBa20KC_046	46	Bafoussam 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBa20KC_047	47	Bafoussam 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_094	94	Buea	Ae. albopictus	qPCR	81373.3150015246	0	0	0	0	0	0
MOS20qBu20KC_095	95	Buea	Ae. albopictus	qPCR	29379.867747639	0	0	0	3526.21841952077	0	0
MOS20qBu20KC_096	96	Buea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_097	97	Buea	Ae. albopictus	qPCR	1646.58803269826	0	0	0	0	0	0
MOS20qBu20KC_098	98	Buea	Ae. albopictus	qPCR	13771.8728956646	0	0	0	0	0	0
MOS20qBu20KC_099	99	Buea	Ae. albopictus	qPCR	13837.9943433119	0	0	0	0	0	37412520.7470048
MOS20qBu20KC_100	100	Buea	Ae. albopictus	qPCR	523885015.196498	0	0	0	0	0	0
MOS20qBu20KC_101	101	Buea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_102	102	Buea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_103	103	Buea	Ae. albopictus	qPCR	165030067.194775	0	0	0	0	0	0
MOS20qBu20KC_104	104	Buea	Ae. albopictus	qPCR	46780.8649282836	0	0	0	0	0	0
MOS20qBu20KC_105	105	Buea	Ae. albopictus	qPCR	21805579.1953913	0	0	0	16416.50695407	0	0
