Contigs	mean_blastx
NODE_1000_length_507_cov_18.902326_Ya20_KC_P46	65.66
NODE_1000_length_517_cov_3.054545_Ba20_KC_P02	35.824
NODE_1000_length_543_cov_2.203863_Ed20_KC_P23	39.668
NODE_1000_length_550_cov_1.291755_Bu20_KC_P33	43.636
NODE_1000_length_557_cov_0.975000_Bu20_KC_P35	36.224
NODE_1000_length_566_cov_2.486708_Bu20_KC_P29	70.84
NODE_1000_length_573_cov_16.143145_Bu20_KC_P37	79.5
NODE_1000_length_583_cov_1.849802_Ed20_KC_P19	45.996
NODE_1000_length_588_cov_1.252446_Ed20_KC_P17	52.164
NODE_1000_length_589_cov_5.425781_Ba20_KC_P04	63.004
NODE_1000_length_600_cov_1.011472_Bu20_KC_P34	100
NODE_1000_length_602_cov_1.834286_Ya20_KC_P53	61.456
NODE_1000_length_615_cov_2.066914_Bu20_KC_P36	54.64
NODE_1000_length_619_cov_3.066421_Bu20_KC_P40	48.408
NODE_1000_length_623_cov_2.064103_Ya20_KC_P45	86.376
NODE_1000_length_639_cov_2.823843_Ba20_KC_P06	49.296
NODE_1000_length_644_cov_1.712522_Bu20_KC_P32	35.212
NODE_1000_length_659_cov_14.403780_Ed20_KC_P26	63.18
NODE_1000_length_671_cov_2.523569_Ya20_KC_P52	66.808
NODE_1000_length_676_cov_1.175292_Bu20_KC_P42	75.18
NODE_1000_length_682_cov_2.238017_Ba20_KC_P07	62.956
NODE_1000_length_692_cov_1.726829_Ya20_KC_P54	59.82
NODE_1000_length_694_cov_1.826580_Ed20_KC_P25	83.392
NODE_1000_length_703_cov_2.025559_Ba20_KC_P03	68.652
NODE_1000_length_707_cov_4.901587_Bu20_KC_P30	50.56
NODE_1000_length_733_cov_7.448171_Ya20_KC_P47	75.675
NODE_1001_length_520_cov_2.577878_Ba20_KC_P14	48.032
NODE_1001_length_543_cov_2.015021_Ed20_KC_P23	77.976
NODE_1001_length_546_cov_2.388060_Bu20_KC_P31	28.428
NODE_1001_length_550_cov_1.031712_Bu20_KC_P33	54.3
NODE_1001_length_551_cov_3.189873_Ya20_KC_P49	52.716
NODE_1001_length_558_cov_1.151767_Ed20_KC_P16	73.34
NODE_1001_length_566_cov_1.678937_Bu20_KC_P29	47.004
NODE_1001_length_583_cov_1.594862_Ed20_KC_P19	58.04
NODE_1001_length_588_cov_0.747554_Ed20_KC_P17	65.828
NODE_1001_length_599_cov_5.078544_Bu20_KC_P34	50.736
NODE_1001_length_602_cov_0.760000_Ya20_KC_P53	50.808
NODE_1001_length_610_cov_0.861163_Ed20_KC_P15	46.912
NODE_1001_length_615_cov_1.565056_Bu20_KC_P36	62.524
NODE_1001_length_619_cov_3.005535_Bu20_KC_P40	31.84
NODE_1001_length_623_cov_1.783883_Ya20_KC_P45	39.648
NODE_1001_length_639_cov_2.496441_Ba20_KC_P06	48.74
NODE_1001_length_644_cov_1.513228_Bu20_KC_P32	36.2
NODE_1001_length_659_cov_2.874570_Ed20_KC_P26	56.308
NODE_1001_length_671_cov_1.632997_Ya20_KC_P52	33.62
NODE_1001_length_682_cov_1.461157_Ba20_KC_P07	50.436
NODE_1001_length_694_cov_0.499190_Ed20_KC_P25	45.28
NODE_1001_length_703_cov_1.908946_Ba20_KC_P03	65.5666666666667
NODE_1001_length_704_cov_0.985646_Ed20_KC_P18	54.288
NODE_1001_length_720_cov_3.343701_Ba20_KC_P01	50.124
NODE_1001_length_733_cov_2.131098_Ya20_KC_P47	59.972
NODE_1001_length_746_cov_2.133034_Bu20_KC_P39	34.945
NODE_1002_length_517_cov_2.027273_Ba20_KC_P02	68.556
NODE_1002_length_520_cov_2.069977_Ba20_KC_P14	61.8782608695652
NODE_1002_length_546_cov_2.285714_Bu20_KC_P31	59.328
NODE_1002_length_550_cov_0.942918_Bu20_KC_P33	45.272
NODE_1002_length_551_cov_1.071730_Ya20_KC_P43	65.56
NODE_1002_length_556_cov_6.803758_Bu20_KC_P35	54.736
NODE_1002_length_558_cov_0.833680_Ed20_KC_P16	34.868
NODE_1002_length_566_cov_0.860941_Bu20_KC_P29	53.892
NODE_1002_length_576_cov_2.166333_Ya20_KC_P55	48.308
NODE_1002_length_582_cov_2.720792_Ba20_KC_P09	38.164
NODE_1002_length_582_cov_3.912871_Ya20_KC_P51	88.924
NODE_1002_length_583_cov_1.320158_Ed20_KC_P19	45.836
NODE_1002_length_589_cov_1.859375_Ba20_KC_P04	64.9
NODE_1002_length_615_cov_1.252788_Bu20_KC_P36	99.6
NODE_1002_length_619_cov_1.708487_Bu20_KC_P40	57.5
NODE_1002_length_639_cov_1.925267_Ba20_KC_P06	65.888
NODE_1002_length_644_cov_1.250441_Bu20_KC_P32	37.8571428571429
NODE_1002_length_659_cov_2.139175_Ed20_KC_P26	53.48
NODE_1002_length_671_cov_1.552189_Ya20_KC_P52	41.66
NODE_1002_length_682_cov_1.171901_Ba20_KC_P07	35.432
NODE_1002_length_693_cov_2.399351_Ed20_KC_P25	45.548
NODE_1002_length_701_cov_3.084936_Ed20_KC_P24	36.792
NODE_1002_length_703_cov_1.404153_Ba20_KC_P03	74.7
NODE_1002_length_707_cov_1.161905_Bu20_KC_P30	35.112
NODE_1002_length_733_cov_1.307927_Ya20_KC_P47	73.952
NODE_1002_length_746_cov_1.121076_Bu20_KC_P39	42.824
NODE_1003_length_507_cov_2.395349_Ya20_KC_P46	37.032
NODE_1003_length_517_cov_1.325000_Ba20_KC_P02	64.02
NODE_1003_length_543_cov_1.208155_Ed20_KC_P23	35.684
NODE_1003_length_553_cov_2.365546_Bu20_KC_P41	98.48
NODE_1003_length_556_cov_1.935282_Bu20_KC_P35	64.104
NODE_1003_length_557_cov_21.775000_Ed20_KC_P16	86.9555555555556
NODE_1003_length_566_cov_0.815951_Bu20_KC_P29	49.14
NODE_1003_length_573_cov_1.282258_Bu20_KC_P37	40.808
NODE_1003_length_576_cov_1.108216_Ya20_KC_P55	65.2
NODE_1003_length_580_cov_1.425447_Ed20_KC_P20	65.825
NODE_1003_length_582_cov_2.097030_Ba20_KC_P09	45.252
NODE_1003_length_582_cov_2.988119_Ya20_KC_P51	51.1
NODE_1003_length_582_cov_22.354455_Ed20_KC_P19	80.8
NODE_1003_length_587_cov_3.527451_Ed20_KC_P17	46.708
NODE_1003_length_589_cov_1.693359_Ba20_KC_P04	56.444
NODE_1003_length_599_cov_2.986590_Bu20_KC_P34	66.276
NODE_1003_length_601_cov_7.188931_Ya20_KC_P53	47.828
NODE_1003_length_602_cov_1.874286_Ba20_KC_P08	76.156
NODE_1003_length_615_cov_0.778810_Bu20_KC_P36	41.928
NODE_1003_length_619_cov_0.987085_Bu20_KC_P40	62.136
NODE_1003_length_623_cov_1.478022_Ya20_KC_P45	48.7
NODE_1003_length_639_cov_1.830961_Ba20_KC_P06	46.188
NODE_1003_length_641_cov_2.787234_Ya20_KC_P44	40.428
NODE_1003_length_652_cov_6.450435_Ya20_KC_P56	62.2
NODE_1003_length_659_cov_1.754296_Ed20_KC_P26	43.632
NODE_1003_length_671_cov_1.018519_Ya20_KC_P52	49.376
NODE_1003_length_682_cov_0.757025_Ba20_KC_P07	78.416
NODE_1003_length_691_cov_4.882736_Ya20_KC_P54	35.436
NODE_1003_length_693_cov_1.738636_Ed20_KC_P25	49.4666666666667
NODE_1003_length_703_cov_0.931310_Ba20_KC_P03	44.256
NODE_1003_length_703_cov_3.035144_Ed20_KC_P18	72.888
NODE_1003_length_706_cov_18.496025_Bu20_KC_P30	93.85
NODE_1003_length_720_cov_2.499222_Ba20_KC_P01	45.3384615384615
NODE_1003_length_732_cov_2.656489_Ya20_KC_P47	64.94
NODE_1003_length_813_cov_1.754076_Ba20_KC_P05	48.716
NODE_1004_length_509_cov_0.796296_Ed20_KC_P21	47.504
NODE_1004_length_517_cov_0.977273_Ba20_KC_P02	59.596
NODE_1004_length_520_cov_1.519187_Ba20_KC_P14	46.725
NODE_1004_length_543_cov_0.967811_Ed20_KC_P23	52.764
NODE_1004_length_551_cov_1.002110_Ya20_KC_P49	41.112
NODE_1004_length_553_cov_1.615546_Bu20_KC_P41	43.908
NODE_1004_length_556_cov_1.784969_Bu20_KC_P35	73.05
NODE_1004_length_566_cov_0.662577_Bu20_KC_P29	46.668
NODE_1004_length_573_cov_1.112903_Bu20_KC_P37	57.628
NODE_1004_length_576_cov_1.104208_Ya20_KC_P55	62.9846153846154
NODE_1004_length_580_cov_1.186879_Ed20_KC_P20	31.3
NODE_1004_length_582_cov_0.825743_Ed20_KC_P19	34.064
NODE_1004_length_582_cov_2.025743_Ba20_KC_P09	57.28
NODE_1004_length_582_cov_2.415842_Ya20_KC_P51	60.704
NODE_1004_length_587_cov_2.235294_Ed20_KC_P17	49.628
NODE_1004_length_589_cov_1.574219_Ba20_KC_P04	55.268
NODE_1004_length_599_cov_2.532567_Bu20_KC_P34	36.564
NODE_1004_length_601_cov_5.734733_Ya20_KC_P53	80.5
NODE_1004_length_602_cov_1.870476_Ba20_KC_P08	46
NODE_1004_length_639_cov_1.629893_Ba20_KC_P06	80
NODE_1004_length_643_cov_3.855124_Bu20_KC_P32	34.592
NODE_1004_length_670_cov_2.430017_Ya20_KC_P52	44.36
NODE_1004_length_682_cov_0.733884_Ba20_KC_P07	35.848
NODE_1004_length_693_cov_1.389610_Ed20_KC_P25	54.988
NODE_1004_length_701_cov_1.674679_Ed20_KC_P24	46.412
NODE_1004_length_703_cov_2.817891_Ed20_KC_P18	32.184
NODE_1004_length_706_cov_2.589825_Bu20_KC_P30	48.34
NODE_1004_length_720_cov_2.239502_Ba20_KC_P01	47.6
NODE_1004_length_813_cov_1.480978_Ba20_KC_P05	71.572
NODE_1005_length_507_cov_1.974419_Ya20_KC_P46	52.772
NODE_1005_length_517_cov_0.822727_Ba20_KC_P02	77.428
NODE_1005_length_520_cov_1.239278_Ba20_KC_P14	53.708
NODE_1005_length_543_cov_0.907725_Ed20_KC_P23	57.744
NODE_1005_length_550_cov_1.065539_Ya20_KC_P43	53.132
NODE_1005_length_553_cov_1.405462_Bu20_KC_P41	51.896
NODE_1005_length_556_cov_1.415449_Bu20_KC_P35	58.084
NODE_1005_length_572_cov_8.503030_Bu20_KC_P37	37.772
NODE_1005_length_576_cov_0.685371_Ya20_KC_P55	47.788
NODE_1005_length_580_cov_1.131213_Ed20_KC_P20	48.572
NODE_1005_length_581_cov_5.297619_Ed20_KC_P19	63.756
NODE_1005_length_582_cov_2.011881_Ba20_KC_P09	42.436
NODE_1005_length_587_cov_0.786275_Ed20_KC_P17	44.412
NODE_1005_length_589_cov_0.863281_Ba20_KC_P04	42.016
NODE_1005_length_601_cov_3.406489_Ya20_KC_P53	38.072
NODE_1005_length_602_cov_1.840000_Ba20_KC_P08	48.972
NODE_1005_length_614_cov_5.497207_Bu20_KC_P36	79.04
NODE_1005_length_622_cov_2.117431_Ya20_KC_P45	44.804
NODE_1005_length_641_cov_1.696809_Ya20_KC_P44	33.904
NODE_1005_length_643_cov_3.155477_Bu20_KC_P32	45.864
NODE_1005_length_659_cov_1.154639_Ed20_KC_P26	54.508
NODE_1005_length_670_cov_2.317032_Ya20_KC_P52	51.712
NODE_1005_length_693_cov_1.371753_Ed20_KC_P25	67.18
NODE_1005_length_701_cov_1.541667_Ed20_KC_P24	54.428
